193,Y
334,Y
343,Y
24,N
47,Y
277,Y
76,N
547,Y
135,N
213,Y
314,N
520,Y
101,Y
87,Y
340,N
493,Y
153,N
238,Y
154,Y
351,N
245,N
12,Y
402,Y
353,N
492,Y
200,Y
212,Y
439,Y
374,Y
612,Y
273,Y
449,N
335,Y
580,Y
350,Y
386,Y
511,Y
480,Y
67,Y
188,Y
192,N
257,N
457,N
178,Y
332,Y
603,Y
158,Y
201,Y
592,Y
253,Y
266,Y
307,N
22,N
422,Y
540,Y
226,N
248,Y
249,Y
384,N
552,Y
74,Y
202,N
90,Y
274,Y
269,Y
482,Y
575,Y
381,Y
128,N
355,Y
510,N
174,N
106,Y
448,N
0,Y
142,Y
325,N
428,Y
443,Y
198,Y
61,Y
399,N
455,Y
244,Y
246,Y
150,N
324,Y
180,N
507,N
344,Y
339,Y
141,Y
98,Y
133,Y
516,Y
495,Y
519,N
401,N
485,Y
304,Y
395,Y
224,Y
132,Y
124,Y
21,Y
260,Y
611,Y
589,N
309,Y
486,N
489,N
601,Y
40,N
157,Y
59,Y
228,Y
159,Y
164,Y
453,Y
31,N
293,N
410,N
108,N
